#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
3101872186030319616,207.55104,18.216352,2755,54507,65,0.2155004,156.4176
3103042891052771328,208.64872,18.088195,2756,54508,228,0.1514729,2094.599
2947720380921440256,197.93419,20.019979,2618,54506,416,0.2926029,317.0081
681325613767747584,212.16255,63.100136,605,52353,568,0.2606139,674.885
677816792571209728,197.53336,63.684327,602,52072,91,0.1925539,408.8541
684593357762095104,221.19472,59.179848,608,52081,168,0.2765597,257.3318
684547453151635456,222.61105,58.662477,608,52081,1,0.2102813,59.42062
680179368298833920,206.40754,63.525148,604,52079,494,0.175201,923.1448
892873575382411264,227.30369,53.473162,793,52370,127,0.2023347,33.50986
1488546651176986624,205.14716,55.825491,1322,52791,389,0.2466999,128.5294
1550420847741659136,206.0255,39.471531,1377,53050,206,0.2667046,358.2425
2428619771420370944,228.46459,26.399491,2157,54242,195,0.2046669,2053.386
2392656112965937152,212.67486,31.675394,2125,53795,432,0.1877306,267.1736
381805716010199040,196.46047,-1.3921222,339,51692,457,0.2500602,65.61485
380713351241558016,194.88952,-1.4759518,338,51694,579,0.2657186,220.0962
888393339907368960,214.986,58.583792,789,52342,212,0.2706725,247.8274
1177725703567730688,217.82273,49.44171,1046,52460,125,0.2540441,513.0931
1177706187236337664,218.57701,49.21015,1046,52460,54,0.2485362,14.08756
1520020996071909376,221.35769,38.143267,1350,52786,204,0.2472644,160.9789
2525554358276352000,199.78264,27.307793,2243,53794,585,0.284118,54.28283
2935270055602055168,204.95997,15.991169,2607,54184,178,0.2763289,155.4419
3088350662749087744,210.14029,15.742239,2743,54259,26,0.2151691,255.7214
3088503219987441664,209.73916,16.247806,2743,54259,581,0.2196604,409.3099
3091762446877091840,215.66096,14.615268,2746,54232,150,0.2413164,562.0349
3091764645900347392,215.51932,15.179629,2746,54232,158,0.2561927,373.9967
1308428502541821952,219.83046,55.221631,1162,52668,483,0.257148,183.5643
1310663534903846912,224.74711,53.586599,1164,52674,422,0.2618298,110.1135
1310679477822449664,224.8786,53.387968,1164,52674,480,0.2814417,241.9292
1572969083605903360,220.76082,40.75698,1397,53119,316,0.2461701,1461.512
1649509385929517056,204.75567,45.381746,1465,53082,240,0.2319155,281.9127
