,z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd,oiii/hb,hb/hg,oiii/hg
76,0.06029864,37.61605,34.38978,-0.585045,20.10234,-0.3151366,15.74948,-0.3063659,500.0,0.03616071,1.710735168144604,1.2763811884582856,2.183550187053795
77,0.06174993,36.21944,45.38799,-0.4644133,-14.00491,0.1586139,-11.37842,0.1034729,500.0,0.008264823,-3.240862668878272,1.2308308183385743,-3.9889536508583796
78,0.1027759,44.92632,2502.272,-25.67009,3461.101,-22.34332,1471.97,-10.86124,500.0,0.01297909,0.7229699451128412,2.351339361535901,1.6999476891512735
79,0.09733227,42.15875,2074.677,-24.08595,2022.419,-11.93944,980.5318,-6.550022,500.0,0.0167305,1.0258393537639827,2.0625735952673847,2.115869164059748
80,0.1397043,39.42975,518.7308,-10.26304,553.1812,-6.179073,369.8924,-4.878768,500.0,0.0433805,0.9377231185730824,1.4955192374863608,1.4023829632617486
81,0.05708254,36.4471,51.71821,-0.4714663,27.26945,-0.2428704,20.06627,-0.3183252,500.0,0.02708664,1.8965622702328064,1.3589695543815568,2.5773703832351504
82,0.1591409,42.49717,2110.901,-42.44629,1350.098,-15.53182,768.8372,-10.06665,500.0,0.04080644,1.5635168706271692,1.7560258530674633,2.7455760465284453
83,0.2716148,36.92752,244.1208,-6.848554,944.9173,-15.74488,477.0703,-8.751025,500.0,0.01725316,0.2583514980623172,1.9806667906176512,0.5117082325183522
84,0.4709734,36.29823,516.1302,-23.56591,208.7716,-6.567808,132.0164,-4.846265,500.0,0.04612916,2.472224191413008,1.5814065525192325,3.909591535597092
85,0.6844156,42.75842,805.6792,-10.30671,1079.711,-8.031675,485.877,-4.070396,500.0,0.01975854,0.7461989365672852,2.222189978122035,1.6581957985251412
86,0.3569269,40.24631,1216.203,-16.45802,2312.302,-16.65986,931.9672,-7.497524,500.0,0.03515561,0.5259706560821207,2.4810980472274133,1.304984767704271
87,0.05031559,45.39903,23.09386,-0.2145896,12.28783,-0.03092102,9.293491,-0.0776023,500.0,0.01903607,1.8794091389610696,1.3221974390463176,2.484949950454571
88,0.0563294,39.48527,2978.191,-37.09431,2322.049,-20.472,977.8483,-9.02868,500.0,0.0146779,1.2825702644517836,2.374651569164665,3.0456574910443672
89,0.1437301,45.32858,1974.528,-13.45289,2177.18,-8.205224,1118.539,-5.109233,500.0,0.01563415,0.9069199606830856,1.946449788518773,1.7652741656750457
90,0.05752024,35.21395,26.69705,-0.2480374,-27.75345,0.2128393,-51.48223,0.5236337,500.0,0.02694942,-0.9619362637798183,0.5390879532607659,-0.5185682516083705
91,0.5739516,37.42147,468.9874,-12.17252,1162.712,-16.11716,505.7084,-7.142616,500.0,0.01711633,0.403356463165427,2.2991747813562124,0.9273870080069858
92,0.05502648,35.4505,32.1122,-0.3887452,51.18768,-0.6243421,47.54509,-0.8050793,500.0,0.01821248,0.6273423605054966,1.0766133790050665,0.6754051785368373
93,0.1600988,39.1761,1375.61,-31.86824,354.0004,-5.849254,256.5636,-4.936416,451.7712,0.020434,3.8858995639552947,1.3797763985226275,5.361672505374885
94,0.06527424,43.7429,15.68395,-0.2090649,3.349619,-0.06920715,-4.795976,0.04651752,500.0,0.02114313,4.6823086446548094,-0.6984228027829998,-3.270231127094881
95,0.1051187,58.12148,646.8806,-14.89648,2409.637,-27.60482,1127.948,-13.37396,500.0,0.01900618,0.26845562215387625,2.136301496168263,0.5735021472621078
96,0.4580766,37.19682,818.7128,-21.4657,1135.089,-15.52481,561.2687,-8.651393,500.0,0.02008798,0.7212763052060236,2.0223629074630387,1.4586824456806518
97,0.1346648,40.50008,947.3425,-10.01528,2292.539,-13.14289,1127.194,-7.60513,500.0,0.05099057,0.41322852086703865,2.0338459927927226,0.8404431712730905
98,0.05378993,49.84877,68.22971,-0.6703065,31.95845,-0.2871156,-35.45596,0.5899921,500.0,0.04458043,2.1349505373383253,-0.9013562176852636,-1.924350941280394
99,0.05126621,36.23205,1165.69,-16.58011,1218.343,-11.11801,612.5424,-6.353217,500.0,0.01942769,0.956783106235272,1.9889937414944663,1.9030356102695911
100,0.05500177,36.0172,39.61227,-0.3870516,5.740897,0.0128014,-26.1969,0.2544358,500.0,0.05022898,6.900014057036731,-0.21914413537479627,-1.5120976146032548
101,0.1674174,35.88123,307.9158,-6.167908,759.5152,-10.45688,464.8255,-7.261472,500.0,0.02117208,0.405410977950145,1.6339792029482034,0.6624331066174296
102,0.05162126,35.36148,47.59574,-0.5764755,60.39161,-0.4868204,23.44148,-0.2814602,500.0,0.01839022,0.7881184157865637,2.57627120813191,2.0304067831894574
103,0.05843759,38.88598,61.28471,-0.5052013,-29.36623,0.1722461,-27.85265,0.3737068,500.0,0.01782228,-2.0869110539555127,1.0543424054802686,-2.2003188206508177
104,0.1112474,42.54101,379.021,-12.14783,1109.689,-22.56711,585.86,-11.65674,500.0,0.0229581,0.3415560575981198,1.8941197555730038,0.6469480763322295
105,0.1228317,47.7192,2443.264,-20.16541,2732.305,-11.01267,1338.04,-6.273474,500.0,0.02732966,0.8942134937351431,2.0420204179247254,1.826002212190966
106,0.05919914,36.58686,43.83395,-0.8728964,33.56794,-0.394253,46.41902,-0.8239529,500.0,0.03877603,1.305827822618844,0.7231505533723029,0.9443101125357666
107,0.05348812,36.7301,16.42108,-0.4142477,-12.98563,0.1093621,-53.40952,0.5099838,500.0,0.02489367,-1.264557822762546,0.24313324665715028,-0.307456049033955
108,0.3679648,39.5978,1018.167,-9.659874,1955.585,-11.63341,822.406,-4.956044,500.0,0.07418384,0.520645740277206,2.3778827002721283,1.238034498775544
109,0.5215923,38.17165,278.7357,-4.728466,673.3281,-6.979514,302.8383,-3.349067,500.0,0.04497579,0.4139671283583739,2.2233914930839327,0.920410991608393
110,0.05044142,36.63213,5.620809,0.02323344,10.83558,-0.08907314,3.20245,-0.09125423,500.0,0.02209737,0.5187363297580748,3.3835282361941643,1.7551590188761732
111,0.08373255,39.97597,1228.472,-17.36642,1447.242,-10.21055,905.5444,-8.078292,500.0,0.02868657,0.8488366147472226,1.5982010379612528,1.3566115587485275
112,0.0508138,39.80272,-0.9678934,-0.0283503,-1.463877,-0.0538878,-15.98029,0.2241311,500.0,0.04602916,0.6611849219572409,0.09160515860475624,0.06056794964296643
113,0.05100438,40.48362,19.22207,-0.2018518,39.74822,-0.3664747,21.62636,-0.2036292,500.0,0.04467341,0.4835957434068745,1.8379523877342283,0.8888259512927742
114,0.05241203,41.06841,34.32181,-0.4920512,-13.95789,0.1442547,-39.86116,0.5649901,500.0,0.03903234,-2.45895403961487,0.35016266460885737,-0.8610338986622568
115,0.126024,39.02102,2368.631,-43.77444,926.9399,-9.680372,594.1559,-7.281822,500.0,0.04435388,2.555323166043451,1.5600954227669876,3.986547975034835
116,0.05566793,37.32341,27.08191,-0.255399,-27.32379,0.3332666,-37.04006,0.5732407,500.0,0.02901569,-0.9911476409385375,0.7376821203853342,-0.7311518933824622
117,0.1516362,36.18653,409.7254,-7.877422,503.3342,-5.502056,373.9045,-5.00507,500.0,0.03367133,0.8140225718816643,1.3461571069618046,1.0958022703658288
118,0.2399645,41.02163,436.7917,-4.6191,1138.498,-8.113574,633.1625,-4.955066,500.0,0.01753805,0.38365609777092274,1.7981134384932778,0.6898571851617871
119,0.6480619,40.35033,203.2775,-5.020397,766.2408,-11.43559,401.9535,-6.2515,500.0,0.04970725,0.26529192911679983,1.906292145733275,0.5057239208017843
120,0.05552557,38.75946,33.85608,-0.4303996,23.11037,-0.2957833,-0.2995403,0.05153869,500.0,0.04045163,1.4649735162180442,-77.15279045924706,-113.02679472511713
121,0.665539,42.92826,162.6248,-2.784999,593.1847,-7.765718,296.2082,-4.114489,500.0,0.03904426,0.2741554190457036,2.002593783696738,0.5490219379477003
122,0.3885836,50.46992,964.887,-13.14486,1254.715,-9.315866,616.2365,-5.428637,500.0,0.03562643,0.7690088984351028,2.036093285613559,1.5657738546807922
123,0.09159148,40.64852,847.1891,-10.80454,999.2677,-8.021374,570.4431,-4.858561,500.0,0.05900654,0.8478099512272838,1.751739481115645,1.4851421640475626
124,0.1472984,40.82374,550.5377,-10.79614,873.853,-8.637259,514.1096,-6.382996,500.0,0.05242494,0.6300117983230589,1.6997406778632416,1.0708566811434759
125,0.3524207,35.40988,261.3364,-5.315979,824.8037,-11.83803,418.2391,-6.991037,500.0,0.02862927,0.3168467842712151,1.972086540928383,0.6248492787977021
126,0.5624623,36.97692,99.94514,-0.7974991,640.5447,-7.836785,315.0269,-3.558087,500.0,0.06966332,0.15603148382930962,2.033301600593473,0.3172590658131099
127,0.05618459,36.5116,49.15621,-0.4519883,36.65266,-0.3301932,9.635471,-0.1941606,500.0,0.08578774,1.3411362231281443,3.8039302904860586,5.101588702825217
128,0.1415131,45.42774,1692.576,-15.56735,4447.396,-15.2922,1995.165,-8.526052,500.0,0.08946528,0.38057685890799925,2.2290868173810185,0.848338859192097
129,0.06329135,42.93248,7877.747,-106.8469,2802.729,-25.17962,1377.287,-11.45144,500.0,0.02759106,2.8107416022027105,2.03496366407292,5.7197570295806175
130,0.3743551,36.02433,1356.326,-32.20069,877.0047,-11.18361,398.4563,-5.70799,500.0,0.0230818,1.5465435932099338,2.2010059823373354,3.4039517006005426
131,0.265141,37.61324,1067.94,-16.73277,944.1344,-8.781984,515.9789,-5.341496,500.0,0.0144214,1.131131330454647,1.8297926523739636,2.069735797335899
132,0.05280551,37.16121,26.07483,-0.312822,9.104605,-0.1055075,-31.31876,0.5315197,500.0,0.03092029,2.863916666346316,-0.29070771001150747,-0.832562655737328
133,0.05254383,36.23625,29.41502,-0.319819,12.45365,-0.2439774,-13.63574,0.1683552,500.0,0.02156384,2.3619597467409155,-0.91330943535151,-2.157200122618941
